category,subcategory,url,name,offer_price,oldPrice,image-src,items_sold,location
"Fashion Bayi & Anak","Sepatu Bayi","/INDOMINI-R130-Sepatu-Bayi-Prewalker-Karakter-Sepatu-Anak-Perempuan-Laki-laki-Kaos-Kaki-Lucu-Murah-i.303714684.4254758398","INDOMINI R130 Sepatu Bayi Prewalker Karakter Sepatu Anak Perempuan / Laki laki Kaos Kaki Lucu Murah","Rp11.900","Rp45.000","https://cf.shopee.co.id/file/2f421fdf3ce594eeec410c4be27cdaad_tn","1,4RB Terjual","KAB. TANGERANG"
"Fashion Bayi & Anak","Sepatu Bayi","/Sepatu-bayi-murah-i.262673113.3434230454","Sepatu bayi murahGrosir","Rp10.000","Rp15.000","https://cf.shopee.co.id/file/c1c7c8e74092414119d12cdf7a165451_tn","1,6RB Terjual","KOTA SEMARANG"
"Fashion Bayi & Anak","Sepatu Bayi","/Sepatu-bayi-laki-laki-Usia-1-sampai-12-bulan-Di-kirim-random-Warna-i.49041367.3730791532","Sepatu bayi laki-laki Usia 1 sampai 12 bulan Di kirim random Warna","Rp9.000 - Rp9.500","","https://cf.shopee.co.id/file/317802ea1b7882d2170c145c08124dac_tn","2,5RB Terjual","KAB. BOGOR"
"Fashion Bayi & Anak","Sepatu Bayi","/sepatu-baby-new-born-(WARNA-PINK-KOSONG)-GIRL-BONEKA-BOY-BORDIR-i.194932412.4314569019","sepatu baby new born (WARNA PINK KOSONG) GIRL : BONEKA, BOY : BORDIR","Rp5.000 - Rp5.500","","https://cf.shopee.co.id/file/13cd9b86b2202c50d5d3f537c18bd71d_tn","2,4RB Terjual","KAB. SUKOHARJO"
"Fashion Bayi & Anak","Sepatu Bayi","/Sepatu-Bayi-Perempuan-Anti-Slip-Sepatu-Kasual-Berjalan-Bunga-Pertama-Bersol-BUNYI-i.49041367.5151255518","Sepatu Bayi Perempuan Anti Slip Sepatu Kasual Berjalan Bunga Pertama Bersol BUNYI","Rp12.500","Rp25.000","https://cf.shopee.co.id/file/3473a8ca1f7f6c7752216174317080ba_tn","163 Terjual","KAB. BOGOR"
"Fashion Bayi & Anak","Sepatu Bayi","/PW01-Sepatu-Anak-Bayi-newborn-Prewalker-Laki-Laki-Unik-Lembut-Usia-0-6-12-18-Bulan-Lucu-Terbaru-i.70453274.1474605314","PW01 Sepatu Anak Bayi newborn Prewalker Laki Laki Unik Lembut Usia 0 6 12 18 Bulan Lucu Terbaru","Rp31.200","Rp80.000","https://cf.shopee.co.id/file/607b823be59b857dcfec9d249ceef83f_tn","200 Terjual","KOTA SUKABUMI"
"Fashion Bayi & Anak","Sepatu Bayi","/Sandal-Bayi-Bunyi-Perempuan-Happy-Baby-SB-987WP-i.105158131.4045563075","Sandal Bayi Bunyi Perempuan Happy Baby SB-987WP","Rp59.900","","https://cf.shopee.co.id/file/7f93ce8279fd2907d74b4767592855e7_tn","102 Terjual","KAB. BANDUNG"
"Fashion Bayi & Anak","Sepatu Bayi","/Skidder-Sepatu-Prewalker-Boy-Carter-Love-Sepatu-Bayi-Alas-Karet-i.9280996.7037865459","Skidder Sepatu Prewalker Boy Carter Love/ Sepatu Bayi Alas KaretHadiah Gratis","Rp39.000 - Rp45.000","","https://cf.shopee.co.id/file/c0b5303a2e2de1aa91a0edbe3811151c_tn","332 Terjual","KOTA DEPOK"
"Fashion Bayi & Anak","Sepatu Bayi","/SEPATU-PREWALKER-BAYI-ANTI-SLIP-IMPORT-Kaos-Kaki-Anti-Slip-by-Greely-kids-i.269055446.6540221848","SEPATU PREWALKER BAYI ANTI SLIP IMPORT, Kaos Kaki Anti Slip by Greely kids","Rp16.880 - Rp22.880","","https://cf.shopee.co.id/file/847a853b0f592297634c649e915dee78_tn","430 Terjual","KAB. SIDOARJO"
"Fashion Bayi & Anak","Sepatu Bayi","/SEPATU-BABY-SEPATU-BAYI-IMPORT-LUCU-VELCRO-BOSTER-BX11-M-BX12-M-16-20-i.242202212.7229135718","SEPATU BABY - SEPATU BAYI IMPORT LUCU VELCRO BOSTER BX11 M - BX12 M 16-20Pilih 2, diskon Rp3.000","Rp31.800","","https://cf.shopee.co.id/file/529961ce82a071164427dedb2638ce34_tn","358 Terjual","KAB. KULON PROGO"
